Invoice Number,Issue Date,Total Amount,Vendor,Image name
INV0000000127,"Sep 15, 2015",480.00,Sample Company Inc.,00524b56-4fe9-4fa4-b154-23394b827c86.png
786594063079,"01 Apr, 2019",81.76,ShipWorks Webinar,043613d8-5a4f-486d-b941-1b591622c2ed.png
DEL5-2187145,25.08.2019,"₹21,490.00",Appario Retail Private Ltd,09922092-d196-471f-86d4-38366beee9e8.png
HHGJGJJHG,1-Apr-2008,"37,440.00",SHRI KRISHNA MOTORS,0d3e37dd-23db-4d97-b3e4-50486901c527.jpg
14,2018-09-25,"$2,608.20",Turnpike Designs Co.,10ed66fa-b113-4357-9b7c-22d084787ab8.jpeg
RSN/18-19/14126,9-Mar-2019,"76,900.00",RECORD SHOPPEE,131f7202-9aae-4a9d-a928-e5e57f62b0ea.jpeg
4444 AB123,2010/09/15,"1,800.00","company selling Goods to Canada, 125 Street, City, State, 12121, USA",22061e07-c158-4548-ae2d-f40e20dabb73.png
USMF-000003,10-18-2022,"1,380.00",Contoso Entertainment System USA,294f0d81-3979-4353-8711-aa24a7048917.png
19-2038,6/10/2019,950.00,SOLAR ELECTRIC VEHICLE SYSTEMS,2b1e5ff3-c949-4db7-ab5d-5033d5ad2a8f.jpg
US-001,11/02/2019,154.06,East Repair Inc.,2b8dde51-be3e-4e5e-8495-cd730a0089cc.png
1600390,2016-08-27,14.60 GBP,Johny Seller,2dd1937e-8552-4867-a70c-3db47d5246e6.png
#982093,20 AUGUST 2020,$ 2112.25,COMPANY DESIGNS,2dd5fc7e-4406-476c-9a23-838346d07d4f.jpg
INT-001,11/02/2019,$204.75,John Smith,30af8cc0-fed1-4dd7-9a55-48ee452e3b98.jpg
1009624,04/01/2020,"$1,431.27",TimelyBill,319ae2a5-5ed5-482c-af1e-186351c11921.jpg
B1674,02.07.02,125 EUR,The Studio Graphics,31cc94f4-be3c-439b-953b-3a795aebe98e.png
14841,NULL,4210.46,VISION MOTORS PRIVATE LIMITED,338c292c-be82-4f44-8b56-21014f4a0cd1.jpg
1033810,12/30/14,46.86,"MADISON DISTRIBUTORS, INC.",357764e5-bd08-4edd-bda8-94c8fd5adaec.png
